cod_municipio,municipio,subregion,muertes_tempranas,nacidos_vivos,RMM_cruda,RMM_EB_espacial,IPM
23350,La Apartada,San Jorge,4,1655,241.7,111.8,52.6
23500,Moñitos,Costanera,6,3736,160.6,90.7,65.4
23068,Ayapel,San Jorge,6,6659,90.1,85.9,62.4
23580,Puerto Libertador,San Jorge,6,6060,99.0,84.5,58.9
23682,San Jose de Ure,San Jorge,0,1224,0.0,84.5,61.3
23466,Montelibano,San Jorge,11,12830,85.7,79.2,41.1
23574,Puerto Escondido,Costanera,4,2845,140.6,76.5,67.9
23417,Lorica,Bajo Sinu,13,16751,77.6,73.1,41.1
23686,San Pelayo,Medio Sinu,1,4198,23.8,71.7,45.8
23419,Los Cordobas,Costanera,2,2163,92.5,71.1,60.5
23675,San Bernardo del Viento,Costanera,2,4220,47.4,70.1,57.0
23300,Cotorra,Bajo Sinu,2,2091,95.6,69.9,39.7
23162,Cerete,Medio Sinu,9,11807,76.2,69.3,34.4
23855,Valencia,Alto Sinu,4,4793,83.5,69.0,53.1
23001,Monteria,Medio Sinu,49,71416,68.6,68.6,27.1
23090,Canalete,Costanera,1,2345,42.6,68.5,68.2
23807,Tierralta,Alto Sinu,11,16489,66.7,68.5,63.8
23464,Momil,Bajo Sinu,1,1961,51.0,67.6,42.1
23678,San Carlos,Medio Sinu,3,2468,121.6,66.9,58.0
23555,Planeta Rica,San Jorge,4,9732,41.1,66.3,43.0
23570,Pueblo Nuevo,San Jorge,1,3809,26.3,63.0,52.9
23168,Chima,Bajo Sinu,1,1291,77.5,62.0,57.8
23586,Purisima,Bajo Sinu,0,1831,0.0,60.1,53.1
23672,San Antero,Costanera,1,4404,22.7,58.8,46.0
23189,Cienaga de Oro,Medio Sinu,5,6834,73.2,57.6,52.3
23660,Sahagun,Sabanas,9,12537,71.8,56.6,40.4
23182,Chinu,Sabanas,1,5085,19.7,52.9,45.3
23079,Buenavista,San Jorge,0,2412,0.0,51.2,58.0
23670,San Andres de Sotavento,Sabanas,1,5802,17.2,47.5,76.3
23815,Tuchin,Sabanas,4,6263,63.9,45.7,78.0
