cod_municipio,municipio,subregion,muertes_tempranas,nacidos_vivos,RMM_cruda,RMM_EB_espacial,LISA
23350,La Apartada,San Jorge,4,1655,241.7,111.8,No significativo
23500,Moñitos,Costanera,6,3736,160.6,90.7,No significativo
23068,Ayapel,San Jorge,6,6659,90.1,85.9,No significativo
23580,Puerto Libertador,San Jorge,6,6060,99.0,84.5,No significativo
23682,San Jose de Ure,San Jorge,0,1224,0.0,84.5,Bajo-Alto
23466,Montelibano,San Jorge,11,12830,85.7,79.2,No significativo
23574,Puerto Escondido,Costanera,4,2845,140.6,76.5,No significativo
23417,Lorica,Bajo Sinu,13,16751,77.6,73.1,No significativo
23686,San Pelayo,Medio Sinu,1,4198,23.8,71.7,No significativo
23419,Los Cordobas,Costanera,2,2163,92.5,71.1,No significativo
23675,San Bernardo del Viento,Costanera,2,4220,47.4,70.1,No significativo
23300,Cotorra,Bajo Sinu,2,2091,95.6,69.9,No significativo
23162,Cerete,Medio Sinu,9,11807,76.2,69.3,No significativo
23855,Valencia,Alto Sinu,4,4793,83.5,69.0,No significativo
23001,Monteria,Medio Sinu,49,71416,68.6,68.6,No significativo
23090,Canalete,Costanera,1,2345,42.6,68.5,No significativo
23807,Tierralta,Alto Sinu,11,16489,66.7,68.5,No significativo
23464,Momil,Bajo Sinu,1,1961,51.0,67.6,No significativo
23678,San Carlos,Medio Sinu,3,2468,121.6,66.9,No significativo
23555,Planeta Rica,San Jorge,4,9732,41.1,66.3,No significativo
23570,Pueblo Nuevo,San Jorge,1,3809,26.3,63.0,No significativo
23168,Chima,Bajo Sinu,1,1291,77.5,62.0,No significativo
23586,Purisima,Bajo Sinu,0,1831,0.0,60.1,No significativo
23672,San Antero,Costanera,1,4404,22.7,58.8,No significativo
23189,Cienaga de Oro,Medio Sinu,5,6834,73.2,57.6,No significativo
23660,Sahagun,Sabanas,9,12537,71.8,56.6,No significativo
23182,Chinu,Sabanas,1,5085,19.7,52.9,No significativo
23079,Buenavista,San Jorge,0,2412,0.0,51.2,No significativo
23670,San Andres de Sotavento,Sabanas,1,5802,17.2,47.5,No significativo
23815,Tuchin,Sabanas,4,6263,63.9,45.7,No significativo
